2020-12-22 20:48:28,999 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 8 57 264
2020-12-22 20:48:30,880 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: 88 60 -8
2020-12-22 20:48:32,674 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! SCARCE chest at coords: 168 30 136
2020-12-22 20:48:35,936 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: 216 61 328
2020-12-22 20:48:37,691 [Server thread] INFO Treasure2 | WoodDrawWellGenerator.java:79 | CHEATER! Wishing Well at coords: 280 75 136
2020-12-22 20:48:38,057 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 296 57 168
2020-12-22 20:49:00,376 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: -56 60 -8
2020-12-22 20:49:06,566 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! SCARCE chest at coords: -440 55 -456
2020-12-22 20:49:11,292 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! RARE chest at coords: -344 57 -392
2020-12-22 20:49:15,147 [Server thread] INFO Treasure2 | WoodDrawWellGenerator.java:79 | CHEATER! Wishing Well at coords: -504 70 -360
2020-12-22 20:49:15,937 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: -424 54 -242
2020-12-22 20:49:19,815 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! SCARCE chest at coords: -360 59 -488
2020-12-22 20:49:31,073 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: -184 63 -376
2020-12-22 20:49:46,156 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 136 58 -72
2020-12-22 20:52:50,694 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: -88 60 184
2020-12-22 20:53:01,725 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! SCARCE chest at coords: 40 51 -376
2020-12-22 20:53:09,896 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! RARE chest at coords: -152 44 -472
2020-12-22 20:53:13,987 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 259 56 -72
2020-12-22 20:53:19,041 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! SCARCE chest at coords: -72 32 296
2020-12-22 20:53:24,002 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 408 50 168
2020-12-22 20:53:30,793 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! EPIC chest at coords: 376 42 328
2020-12-22 20:53:36,176 [Server thread] INFO Treasure2 | WoodDrawWellGenerator.java:79 | CHEATER! Wishing Well at coords: 56 64 424
2020-12-22 20:53:36,202 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 8 52 408
2020-12-22 20:53:41,197 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 408 70 -72
2020-12-22 20:53:46,308 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! SCARCE chest at coords: 344 45 -168
2020-12-22 20:53:51,784 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: 552 69 200
2020-12-22 20:53:56,744 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! COMMON chest at coords: 542 51 -55
2020-12-22 20:54:00,302 [Server thread] INFO Treasure2 | SimpleWellGenerator.java:85 | CHEATER! Wishing Well at coords: 520 63 360
2020-12-22 20:54:01,374 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! SCARCE chest at coords: 605 37 280
2020-12-22 20:54:05,490 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:207 | CHEATER! UNCOMMON chest at coords: 440 54 -184
